category,page_url,picture_url,title,company,work,qualification,favor,welfare,skill_stack,place,money,employee
개발 매니저,https://www.wanted.co.kr/wd/48831,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F2541%2F8743_2_0.094d5ec5__1080_790.jpg&w=1000&q=75,"e-HR시스템 분석, 설계 및 관리(PL/PM)",휴먼컨설팅그룹,"[주요 업무]
• hunel 솔루션 모듈을 이해합니다.
• 고객사의 시스템 요구 사항을 분석, 설계합니다.
• 프로젝트 진행 시, 일정 납기를 위해 통합적인 관리 및 업무를 수행합니다.

[채용 전형]
• 서류전형 - 1차~2차 면접(화상면접 가능) - 최종 합격","• HR시스템 분석, 설계 및 프로젝트 관리 7년 이상이신 분","• IT관련 자격증(정보처리기사, 정보처리산업기사) 보유해 주시면 감사합니다.
• 프로젝트를 성공적으로 달성하고자 하는 열정이 넘치시는 분 기다리고 있습니다.
• 업무지식, 리더십, 커뮤니케이션 능력을 갖준 님을 기꺼이 모시고자 합니다. 
• 인사시스템에 대한 이해가 있으신 분 두손들어 환영합니다.","1. HCGer가 효율적으로 일하는 환경을 제공합니다.
   • 재량 근로와 선택적 근로 등 유연 근무제
   • 2년 마다 노트북 등 최신 장비 지원
   • 야간 교통비, 야근 식대 지원
   • 통신비 지원
   • 고퀄리티의 웰컴 키트 제공
   • 쾌적한 오피스에서의 무제한 커피와 음료

2. HCGer의 Career를 성장시키고 성과를 함께 나눕니다.
   • 3대 교육 포털사이트의 온라인 교육
   • 직무 능력 향상, 리더십 강화 교육
   • 멘토링 제도
   • 신입사원교육(OJT)
   • 우수사원 및 장기 근속자 포상
   • 퇴직연금 가입
   • 각종 정부지원사업에 적극 지원 

3. HCGer의 기쁜 일은 함께 축하합니다.
    • 생일 축하금
    • 각종 경조사비
    • 명절 및 출산 선물
    • 연차 및 경조/포상/모성보호 휴가는 기본!

4. HCGer간의 소통을 적극 지원합니다.
    • 인정과 피드백
    • 동료•부서간 긴밀한 협업
    • 국내외 워크샵
    • 창립기념 행사 및 문화 이벤트

5. HCGer의 건강을 생각합니다.
    • 최고의 의료시설에서의 건강검진(서울대병원)
    • 단체 상해보험
    • 4대보험 가입","Java
JavaScript
개발
JSP",성남시 분당구 판교역로 230,4927,176
개발 매니저,https://www.wanted.co.kr/wd/48787,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F5588%2Fup3lvufrvzd1cnev__1080_790.jpg&w=1000&q=75,개발본부 AMS팀 제어엔지니어,유진로봇,"- 이동로봇의 위치 추정/주행/센서 퓨전 알고리즘 개발
- SLAM / Navigation / 상위 제어 소프트웨어","- 전기/전자/컴퓨터 또는 관련학과 학사 이상
- 리눅스 시스템 환경 설정, 운영, C/C++ 가능자","- 이동 로봇 제어 및 개발 관련 경험자
- ROS/소스 버전/CMake개발 도구 경험자","(1) 연금·보험 : 국민연금, 고용보험, 산재보험, 건강보험
  (2) 휴무·휴가·행사 : 주 40시간 유연적 근무, 연차(1시간/2시간/4시간), 경조휴가, 출산휴가, 육아휴직 등
  (3) 보상·수당·지원 : 인센티브제, 각종 경조금 지원, 장기근속자 포상, 우수사원 표창/포상, 가족수당, 직원추천 포상금 등
  (4) 교육·연수 : 신입사원교육(OJT/분기별), 사내 직무교육, 기술동향 자료집 제공 등
  (5) 사내시설·장애인지원 : 사내 식당(본사), 사내 카페(본사). 사내 피트니스센터(본사)
  (6) 생활편의·여가행사 : 자기계발비 지원, 건강검진, 중식/석식 제공, 출퇴근 교통비 지원, 회식비 지원","Git
Android
iOS
Linux
Kotlin
Python
Swift
C
C++
CAD
UX
3D
CNC 가공
ROS",인천광역시 연수구 하모니로 187번길 33,5940,151
개발 매니저,https://www.wanted.co.kr/wd/58042,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F20631%2Fwlbu613s4fuxqsnp__1080_790.jpg&w=1000&q=75,SW 개발자,컨트롤웍스,"윈도우 응용 프로그램 개발
 - LabVIEW, C/C++, C# 언어 활용
 - 제어/계측 프로그램 개발
 - 테스트 자동화 프로그램 개발
 - SETUP, 시운전 및 유지보수","- C++, C#, LabVIEW 중에 1개 이상 능숙하게 다루시는 분
- 응용 소프트웨어 개발 실무 경험 3년 이상 
- 전문학사 이상 졸업","- 검사장비개발 동종업계 근무 경력자 우대

[전형절차]
1. 서류심사: 이력서, 자기소개서, 포트폴리오(경력의 경우), 성적증명서(90일 이내 발급)
2. 면접
3. 최종합격","• 유연근무제(출근시간 7-10시, 30문 간격으로 자유롭게 출퇴근)
• 회사 콘도 지원(대명리조트, 한화리조트 등)
• 건강검진 지원(40세이상 매년, 40세미만 격년)
• 연말 실적에 따른 인센티브 지급
• 장기근속자 포상
• 직원실손보험 가입
• 직원 추천 채용시 포상금
• 생일자 축하금 지급
• 직무 능력 향상을 위한 교욱비 지원
• 청년내일채움공제 지원
• 퇴직연금 운영
• 특허 출원시, 등록시 포상금 지급","Python
C++
LabVIEW",서울 강남구 언주로81길 13 진일빌딩 3층,없음,없음
개발 매니저,https://www.wanted.co.kr/wd/117955,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F3731%2Flimlyt6b9ojg9dlo__1080_790.jpg&w=1000&q=75,"스마트시티 서비스개발 Sr.(Java, Java Script, Spring Framework, Docker, Git, GIS)",이에이트,• 스마트시티 서비스개발,"• 학력 무관 (이공계 석사 이상 병역특례 가능)
• 경력 6년 이상
• 개발 경력 6년 이상 혹은 그에 준하는 역량 보유
• Java, Java Script
• Spring Framework(Boot)
• Docker
• Git
• GIS","• 디지털트윈 컨텐츠 개발 경험
• 능동적인 자세와 활발한 커뮤니케이션 역량 보유
• 전자정부프레임워크 개발 경험
• 일부 개발 및 개발 방향 가이드 가능
• 비동기 통신에 대한 이해
• 3D, GIS 업무 이해
• WebGL 활용 가능
• Client 요구사항 분석 및 개발 사양 작성 가능","• 롯데월드타워 인근 쾌적한 근무 환경
• 교육비 및 도서구입비 지원
• 우수 논문 포상, 직무 발명 보상, 인재 추천 포상
• 장기근속포상, 리프레시 휴가 
• 패밀리데이 조기퇴근 및 선물 지급, 생일 선물 지급
• 경조휴가 및 경조사비 지원
• 운동시설 등록비, 임직원 건강검진 제공
• 청년내일채움공제 지원
• 중석식 제공, 무제한 스낵바","Unreal Engine
AR
VR
3D
UI 디자인
Unity3D",서울시 송파구 올림픽로 300 롯데월드타워 28F,4145,84
개발 매니저,https://www.wanted.co.kr/wd/117952,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F3731%2Flimlyt6b9ojg9dlo__1080_790.jpg&w=1000&q=75,국가연구과제 디지털트윈 R&D,이에이트,• 국가연구과제 디지털트윈 R&D,"• 대졸(4년제) 이상 : 경력 3년 이상
• 석사 이상(병역특례 가능) : 신입 
• 국가연구과제 수행 경험
• 국가연구과제 계획/설계/개발/운영 가능자","• 정보통신/프로그램 개발 관련 전공자
• 건설관리/데이터표준정립 관련 전공자
• 스마트시티/디지털트윈 프로젝트 수행 경험","• 롯데월드타워 인근 쾌적한 근무 환경
• 교육비 및 도서구입비 지원
• 우수 논문 포상, 직무 발명 보상, 인재 추천 포상
• 장기근속포상, 리프레시 휴가 
• 패밀리데이 조기퇴근 및 선물 지급, 생일 선물 지급
• 경조휴가 및 경조사비 지원
• 운동시설 등록비, 임직원 건강검진 제공
• 청년내일채움공제 지원
• 중석식 제공, 무제한 스낵바","Unreal Engine
AR
VR
3D
UI 디자인
Unity3D",서울시 송파구 올림픽로 300 롯데월드타워 28F,4145,84
개발 매니저,https://www.wanted.co.kr/wd/102825,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F14411%2Fhrps21hcwwgqgcdd__1080_790.png&w=1000&q=75,iOS Developer,플라스크,• Unity 개발자와 협력하여 3D 댄스 애니메이션 콘텐츠 제작 기능 개발,"• iOS 개발 경력 3년 이상 혹은 그에 준하는 실력을 보유한 분
• Human Interface Guidelines에 대한 이해도가 높은 분
• RESTFul API에 대한 이해와 실무 경험이 있으신 분
• 상용 서비스 출시를 직접 끝까지 경험 해보신 분
• 긍정적이며 자기 주도적인 성장이 가능한 분
• 협업에 어려움이 없으신 분","• 오픈소스 프로젝트 경험이 있으신 분
• RxSwift, Reactorkit, MVVM 경험이 있으신 분
• 단위 테스트 / UI 자동화 테스트 작성 경험이 있으신 분
• Unity 등 3D 관련 프로젝트 경험 있으신 분 오픈소스 프로젝트 경험이 있으신 분","• 주도적인 업무환경 및 성장 기회
• 주 5일 자율출퇴근/유연근무 (주 40시간 근무)
• 주 2회 재택근무
• 전 팀원 전문기관에서의 건강검진 지원
• 400만원 상당의 노트북/PC 및 주변기기 제공
• 업무 관련 자기계발 비용, 도서구입비 지원
• 중식, 석식, 음료 및 다과 제공 
• 입사 2년, 4년 후 리프레시 유급휴가 지급
• 글로벌 업무 환경 및 영어 교육 지원
• 기타 혜택 관련 직원 의견 적극 반영
• 4주에 한번 리드와의 1on1 미팅 및 피드백 타임
• 결혼, 출산, 사망, 입학, 졸업, 자녀 돌 등 다양한 경조사 휴가 및 경조금 및 화환 지급
• 청년내일채움공제, 근로자 휴가지원사업 등 청년/근로자 지원제도 참여


[채용상세]
• 채용절차: 서류전형 - 인터뷰(1,2차) - 근무조건 협의
• 제출 서류: 프로젝트 위주의 이력서 혹은 포트폴리오 1부
• 서류를 통해 기본적인 역량과 진행하셨던 경험과 프로젝트를 작성해주시길 바랍니다.
• 인터뷰는 최대 2차 인터뷰까지 진행됩니다. 30~40분간 진행되는 1차 인터뷰에서는 개별 역량 및 프로젝트에 대한 질문 위주로 진행되며, 2차 인터뷰에서는 업무성향, 팀 문화적인 핏 인터뷰가 이루어 집니다.","Github
Android
iOS
React
JavaScript
Kotlin
MVVM
AWS
NodeJS
RESTful WebServices
Unity3D
3D 시각화","서울특별시 서초구 서초대로 396, 강남빌딩 17층",4235,24
개발 매니저,https://www.wanted.co.kr/wd/102766,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F14411%2Fhrps21hcwwgqgcdd__1080_790.png&w=1000&q=75,Android Developer,플라스크,•  Unity 개발자와 협력하여 3D 댄스 애니메이션 콘텐츠 제작 기능 개발,"•  안드로이드 개발 경력 3년 이상 혹은 그에 준하는 실력을 보유한 분
•  Kotlin 개발 경험이 있으신 분
•  안드로이드의 UI/UX 가이드라인에 대한 이해도가 높은 분
•  RESTFul API에 대한 이해와 실무 경험이 있으신 분
•  상용 서비스 출시를 직접 끝까지 경험 해보신 분
•  긍정적이며 자기 주도적인 성장이 가능한 분
•  협업에 어려움이 없으신 분","• 오픈소스 프로젝트 경험이 있으신 분
•  MVP, MVVM 아키텍처에 대한 이해가 있으신 분
•  단위 테스트 / UI 자동화 테스트 작성 경험이 있으신 분
•  Unity 등 3D 관련 프로젝트 경험 있으신 분","• 주도적인 업무환경 및 성장 기회
• 주 5일 자율출퇴근/유연근무 (주 40시간 근무)
• 주 2회 재택근무
• 전 팀원 전문기관에서의 건강검진 지원
• 400만원 상당의 노트북/PC 및 주변기기 제공
• 업무 관련 자기계발 비용, 도서구입비 지원
• 중식, 석식, 음료 및 다과 제공 
• 입사 2년, 4년 후 리프레시 유급휴가 지급
• 글로벌 업무 환경 및 영어 교육 지원
• 기타 혜택 관련 직원 의견 적극 반영
• 4주에 한번 리드와의 1on1 미팅 및 피드백 타임
• 결혼, 출산, 사망, 입학, 졸업, 자녀 돌 등 다양한 경조사 휴가 및 경조금 및 화환 지급
• 청년내일채움공제, 근로자 휴가지원사업 등 청년/근로자 지원제도 참여


[채용상세]
• 채용절차: 서류전형 -  인터뷰(1,2차) - 근무조건 협의
• 제출 서류: 프로젝트 위주의 이력서 혹은 포트폴리오 1부
• 서류를 통해 기본적인 역량과 진행하셨던 경험과 프로젝트를 작성해주시길 바랍니다.
• 인터뷰는 최대 2차 인터뷰까지 진행됩니다. 30~40분간 진행되는 1차 인터뷰에서는 개별 역량 및 프로젝트에 대한 질문 위주로 진행되며, 2차 인터뷰에서는 업무성향, 팀 문화적인 핏 인터뷰가 이루어 집니다.","Github
Android
iOS
React
JavaScript
Kotlin
MVVM
AWS
NodeJS
RESTful WebServices
Unity3D
3D 시각화","서울특별시 서초구 서초대로 396, 강남빌딩 17층",4235,24
개발 매니저,https://www.wanted.co.kr/wd/115498,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F99%2Fnlazn8bsu0xecymc__1080_790.jpg&w=1000&q=75,"Engineering Manager(Core Team, 5년 이상)",버즈빌(buzzvil),"[Core Team 이란?]

Core 팀은 버즈빌이 제공하는 수익화 솔루션 제품의 핵심 백엔드 시스템을 담당하는 팀입니다. 가장 중요한 역할은 수익화 제품의 주요 고객인 매체사에 높은 수익을 제공하기 위해 광고 인벤토리를 효율적으로 공급하는 것이고, 그 외 사용자 식별 등의 주요 기능도 같이 담당합니다. 여러 가지 관심사를 효율적으로 다루기 위해 시스템 간 경계와 책임이 명확하게 구분된 유연하고 안정적인 백엔드 시스템을 구축하려고 하고, 마이크로서비스 아키텍처를 원칙으로 이런 문제를 풀어나가고 있습니다. 또한 10K request/s를 넘는 대용량 트래픽에서 시스템을 효율적으로 운영하기 위한 노력도 지속해서 기울입니다.

[What you’ll do]

버즈빌의 제품 팀은 Product Manager와 Engineering Manager를 주축으로 한 크로스 펑셔널 팀입니다. 그리고 Engineering Manager는 팀 내 동료 개발자들과 함께 제품 개발의 주축이 되어, 고객에게 가치를 만들어내는 서비스를 만드는 일의 핵심적인 역할을 맡습니다. 아래는 이를 위해 기대하는 대표적인 역할의 예시입니다.

• 다양한 시스템 요구사항을 만족할 수 있는 구조를 주도적으로 설계합니다.
• 요구사항 분석부터 개발, 테스트, 배포까지의 모든 개발 프로세스를 지속해서 개선합니다.
• 장애가 발생하지 않도록 제품 및 프로세스를 관리하고, 장애가 발생했을 경우 해결 과정을 리드합니다.
• 제품 개발의 속도와 질을 개선하기 위해, 팀의 기술적 성장을 책임집니다.

그리고 이런 목표를 팀으로서 이뤄내기 위해, 매니저로서 팀 내 개발자들을 성공적으로 이끌기를 기대합니다.

• 팀의 다른 개발자들을 코칭하며 같이 성장할 수 있도록 가이드합니다.
• 동료 개발자들이 자율적으로 일하며 높은 성과를 낼 수 있도록, 여러 필요한 지원을 아끼지 않습니다.
• 팀과 개인이 같이 성장하며 즐겁게 일할 수 있는 개발 문화를 이끌어갑니다.

특히 Core팀에서 앞으로 중요하게 생각하는 과제는 Supply 관점에서의 광고 공급 기능 고도화입니다. 더 많은 광고 소스를 유연하게 연동하고, 더 다양한 기준으로 광고를 필터링 혹은 정렬할 수 있도록 하고, 그 안에서도 최대한의 효율을 만드는 등의 목표를 어떻게 잘 풀어갈지 고민하고 있습니다. 이런 문제의 해결을 위해 Core팀의 EM으로서 내부 백엔드 구조를 원점부터 검토하여 구조의 설계를 리드해주시길 기대하고, 결과적으로 효율적이고 동시에 변화에 유연하며 견고한 시스템을 만드는 작업을 리드해주시기를 기대합니다.","• 서버 개발 경력이 5년 이상이거나 그에 준하는 역량을 가지고 있습니다.
• Python 혹은 Go 언어에 능숙합니다.
• 팀 리드 경험이 있습니다.
• 이해하기 쉬운 코드를 작성합니다.
• 테스트하기 좋은 코드를 작성합니다.
• 마이크로서비스 아키텍처와 도메인 주도 설계에 대해 깊게 이해하고 있습니다.","• 헥사고날 아키텍처와 같은 소프트웨어 아키텍처를 적용한 설계를 할 수 있습니다.
• 대용량 트래픽을 처리할 수 있습니다.
• MySQL, DynamoDB, Redis, Elasticsearch를 높은 수준으로 다룰 수 있습니다.
• AWS / Kubernetes 등 cloud native 환경에 대해 이해하고 있습니다.
• 이벤트 드리븐 아키텍처를 구축한 경험이 있습니다.","• 버즈빌리언의 즐거운 생활을 위하여,
- 점심 식대 지원(월 15만원) 및 무제한 간식/음료/고급 원두 제공
- 다양한 형태의 업무 공간, 휴게실, 수면실, 게임룸 완비
- 쾌적하고 전망 좋은 사무실 환경 - 석촌호수 도보 1분
- 결혼 축하금 지원 / 본인 및 배우자 출산 시 선물 구독 서비스

• 책임에 기반하여 자기 주도적으로 일하는 버즈빌리언을 위하여,
- 주 1회 재택근무
- 8시-10시 사이 자율 출근, 연차 자율 사용, 모든 행사/회식 자율 참여
- 분기별 1회, 반반차 휴가 부여 (연차와 별도로 제공)
- 3년 이상 장기 근속 시, 2주 유급휴가 지급 (BuzzHoliday)

• 존중과 용기를 담아 커뮤니케이션하기 위하여,
- 격주 전체 회의를 통해, 투명하게 정보를 공유하고 활발한 소통 문화 형성
- 분기별 OKR을 통해 전사 우선순위와 방향성 공유
- 전 구성원 영어 이름 사용 (케이트님 X, 케이트O)
- 연 1회 글로벌 워크샵 (현재는 코로나로 진행되지 않고 있습니다.)

• 버즈빌리언과 조직이 함께 성장하기 위하여,
- 성장을 위한 자기계발비(월 10만원) 지급
- 자기 계발 프로젝트 BuzzChallenge 운영
- 사내 스터디 및 동호회 지원 / 도서구입 무제한 지원
- 직무 관련 외부 세미나 / 컨퍼런스 참석 시 비용 지원

+  What you can expect
1. 좋은 개발 문화와 환경: 버즈빌은 회사와 팀, 개인 모두의 성장을 적극적으로 지원합니다. 좋은 문화와 훌륭한 동료 덕분에 빠른 성장을 경험할 수 있습니다.

•코드 리뷰를 통한 적극적인 공유 및 소통
•쿠버네티스(Kubernetes)와 클라우드 환경 위에 구축된 마이크로서비스 아키텍처
•직군의 경계를 허무는 능동적인 참여 문화
•자율적이고 효율적인 업무 프로세스
•개발 생산성 향상을 위한 과감한 투자
•도서 지원, 스터디 지원, 컨퍼런스 지원 등 적극적인 학습 독려
•좋은 설계와 좋은 코드를 위한 지속적인 노력
•높은 애자일리티
•새로운 기술 도입에 대한 적극적인 논의와 지원
•주기적인 세미나를 통한 지속적인 학습

2. 광고 도메인 학습: 오래된 광고 업계의 역사에도 불구하고 광고업의 성장은 여전히 빠르게 진행되고 있습니다. 디지털 광고, 특히 모바일 광고 시장의 성장세는 이미 존재하던 기존 광고 시장의 크기를 넘어섰고, 더 빠르게 올라가고 있습니다. 광고 분야의 도메인 지식은 매우 깊고 넓으면서도 활용도가 높습니다. 버즈빌에서 광고 업계 전반의 지식을 습득할 수 있고, 이를 바탕으로 다양한 분야에서 수익화가 수반된 혁신을 만들 수 있습니다.

• 채용 프로세스
- 서류전형: 합격/불합격자 모두 통보 예정, 영업일 기준 10일 이내
- 사전 과제 진행
- 1차 면접: 실무진 면접, 사전 과제 토의
- 2차 면접: 임원면접
- 레퍼런스 체크(경력직) 및 연봉협상
- 최종합격 통보 및 오퍼레터 전달)

+ 참고사항
• 장애인, 국가유공자, 보훈 대상자는 관련 법령에 따라 우대합니다.
• 이력서 제출 시, 현재 연봉은 기재하지 말아 주세요.
• 정부지원사업을 최대한 지원해 드립니다. (중소기업 소득세 감면, 내일체움공제 등)","Python
Golang",서울특별시 송파구 석촌호수로 272 MY빌딩 2~5층,5059,110
개발 매니저,https://www.wanted.co.kr/wd/114873,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F10752%2F1nrmuloixclbotgk__1080_790.png&w=1000&q=75,SW Architect I AI Lab. 빅데이터플랫폼개발팀,모아데이타,"• 다양한 이해 관계자(고객, 영업, 기술지원 등)와 협력하여 기능 요구사항 분석
• 높은 수준의 제품 사양 및 설계 문서(User Stroy, UML 등) 작성 
• 개발 청사진 작성
• 개발 프로세스 전반에 걸쳐 개발팀 안내 및 지원 
• 개발 환경 및 도구 설계
• 정기적인 진행 보고서 작성 및 발표 
• 최종 제품에 대한 테스트 및 평가
• 빌드 및 배포 환경 구성","• 학력 : 컴퓨터 공학 학사 이상 (석사 우대)
• 신입/경력 : 신입/경력 무관
• 나이/성별 : 무관
• 소프트웨어 개발 및 프로젝트 관리에 대한 광범위한 경험
• 다양한 프로그래밍 도구 및 개발 플랫폼에 대한 확실한 이해
• 뛰어난 조직력 및 리더십
• UML에 대한 이해 및 분석적인 사고 
• 원활한 의사소통 및 프레젠테이션 기술","• 관련 전공자 
• 각종 대회 입상자","[근무조건 및 근무환경] 
• 근무형태 : 정규직 (시용기간 6개월)
• 근무시일시 : 주5일 / 10시 ~ 19시 
• 시차출퇴근제 운영 (오전 8시~ 오전10시, 30분 단위)
• 캐주얼한 근무 공간 
  (사내 카페테리아, 안마의자, 체력단련실, 야외테라스, 폰부스, 1인 오피스 등)
• 4대보험, 퇴직연금, 연차  
• 수평적인 조직문화 
• 반반차, 반차, 연차 단위의 유연하고 자유로운 연차 사용
• 출산휴가, 육아휴직
• 급여 외 팀인센티브(기본급여의 10%) 및 추가 성과 인센티브 지급  
• 야근, 회식 강요없음 
 

[직원복지]
• 급여외 별도 중식대 지원 
• 우수사원 포상 (리프레시휴가, 법인콘도 이용권, 교통비 지급)
• 장기근속자 포상 
  (근속년수 별 골드바, 리프레시휴가, 해외여행권, 인센티브 차등 지급)
• 패밀리데이 (매월 마지막주 금요일 오후3시 조기퇴근)
• 창립기념일 휴무
• 사내인재추천 인센티브 (추천자 최대 200만원, 입사자 최대 100만원) 
• 직무개발비 지원 (자격증 취득, 직무관련 도서구입/교육훈련비) 
• 매월 팀 단합 회식비 지원
• 경조휴가 및 경조금 지원
• 명절선물 지급 
• 임직원 생활안정자금 대출(주택구입 및 주택임차, 교육비 등 )
• 법인 리조트/호텔 회원가 이용 
• 개인 전산소모품비 한도 내 지원 

| 모아데이타의 근무환경과 복지에 대해 더 자세히 알고 싶다면 
  아래의 링크를 클릭해주세요.","Hadoop
Java
Python
SQL
소프트웨어 개발
Go
C++
프레젠테이션
ElasticSearch
데이터 수집
데이터 처리","경기도 성남시 수정구 달래내로 46, B동 8층",3994,42
개발 매니저,https://www.wanted.co.kr/wd/114868,https://image.wanted.co.kr/optimize?src=https%3A%2F%2Fstatic.wanted.co.kr%2Fimages%2Fcompany%2F10752%2F1nrmuloixclbotgk__1080_790.png&w=1000&q=75,Product Manager | AI Lab. 빅데이터플랫폼개발팀,모아데이타,"• 제품 백로그(backlog) 관리
• 제품 기능에 대한 User Story 설계
• UX 디자인 설계 관리 
• 데이터 기반 제품 설계 관리
• 각종 팀과의 협업을 통한 스프린트 계획 작성
• 스프린트 결과 리뷰 및 피드백 작성
• 제품 기능 테스트
• Product Analyst","• 학력 : 컴퓨터 공학 학사 이상 (석사 우대)
• 나이/성별 : 무관
• IT 분야 서비스기획/PM/PO 경력 3년 이상
• IT서비스 운영 경험
• 소프트웨어 개발 및 프로젝트 관리에 대한 광범위한 경험
• 다양한 프로그래밍 도구 및 개발 플랫폼에 대한 확실한 이해
• 뛰어난 조직력 및 리더십
• UML에 대한 이해 및 분석적인 사고
• 담당 서비스를 주도적인 노력으로 크게 성장시켜본 경험","• 관련 전공자 
• 각종 대회 입상자","[근무조건 및 근무환경] 
• 근무형태 : 정규직 (시용기간 6개월)
• 근무시일시 : 주5일 / 10시 ~ 19시 
• 시차출퇴근제 운영 (오전 8시~ 오전10시, 30분 단위)
• 캐주얼한 근무 공간 
  (사내 카페테리아, 안마의자, 체력단련실, 야외테라스, 폰부스, 1인 오피스 등)
• 4대보험, 퇴직연금, 연차  
• 수평적인 조직문화 
• 반반차, 반차, 연차 단위의 유연하고 자유로운 연차 사용
• 출산휴가, 육아휴직
• 급여 외 팀인센티브(기본급여의 10%) 및 추가 성과 인센티브 지급  
• 야근, 회식 강요없음 
 

[직원복지]
• 급여외 별도 중식대 지원 
• 우수사원 포상 (리프레시휴가, 법인콘도 이용권, 교통비 지급)
• 장기근속자 포상 
  (근속년수 별 골드바, 리프레시휴가, 해외여행권, 인센티브 차등 지급)
• 패밀리데이 (매월 마지막주 금요일 오후3시 조기퇴근)
• 창립기념일 휴무
• 사내인재추천 인센티브 (추천자 최대 200만원, 입사자 최대 100만원) 
• 직무개발비 지원 (자격증 취득, 직무관련 도서구입/교육훈련비) 
• 매월 팀 단합 회식비 지원
• 경조휴가 및 경조금 지원
• 명절선물 지급 
• 임직원 생활안정자금 대출(주택구입 및 주택임차, 교육비 등 )
• 법인 리조트/호텔 회원가 이용 
• 개인 전산소모품비 한도 내 지원 

| 모아데이타의 근무환경과 복지에 대해 더 자세히 알고 싶다면 
  아래의 링크를 클릭해주세요.","Hadoop
Java
Python
SQL
소프트웨어 개발
Go
C++
프레젠테이션
ElasticSearch
데이터 수집
데이터 처리","경기도 성남시 수정구 달래내로 46, B동 8층",3994,42
